,target_azimuth,target_elevation,measurement_azimuth,measurement_elevation,center_frequency,psd_bandwidth,timestamp,frequency_start,frequency_stop,frequency_step,samples,psd_0,psd_1,psd_2,psd_3,psd_4,psd_5,psd_6,psd_7,psd_8,psd_9,psd_10,psd_11,psd_12,psd_13,psd_14,psd_15,psd_min,psd_max,psd_mean
14,324.5,-7.5,325.0,-7.5,1250000000.0,250000.0,2023-03-03 17:04:06,1248000000.0,1252000000.0,250000.0,4000440,-74.22345,-74.51692,-70.705475,-69.0376,-69.334915,-68.837906,-68.77455,-68.54857,-68.25901,-68.51598,-68.83257,-69.439674,-69.35241,-69.929855,-70.28131,-71.55227,-74.51692,-68.25901,-70.0089040625
15,323.5,-7.5,324.0,-7.5,1250000000.0,250000.0,2023-03-03 17:04:16,1248000000.0,1252000000.0,250000.0,4000440,-74.12274,-74.34312,-70.40989,-68.904076,-69.09954,-68.47551,-68.558495,-68.29243,-68.2296,-68.40258,-68.83401,-69.34634,-69.380554,-70.000626,-70.231224,-71.54875,-74.34312,-68.2296,-69.88621781249999
16,322.5,-7.5,323.0,-7.5,1250000000.0,250000.0,2023-03-03 17:04:27,1248000000.0,1252000000.0,250000.0,4000440,-73.99222,-73.919395,-70.2153,-69.0274,-69.07603,-68.58028,-68.65292,-68.40825,-68.52853,-68.54723,-69.164246,-69.42132,-69.70062,-70.21239,-70.34574,-71.60936,-73.99222,-68.40825,-69.9625769375
17,321.5,-7.5,322.0,-7.5,1250000000.0,250000.0,2023-03-03 17:04:35,1248000000.0,1252000000.0,250000.0,4000440,-73.867615,-73.67599,-70.022835,-69.00911,-68.987404,-68.71161,-68.7715,-68.483215,-68.72865,-68.699776,-69.38935,-69.46785,-69.88662,-70.147194,-70.35331,-71.51991,-73.867615,-68.483215,-69.9826211875
18,320.5,-7.5,321.0,-7.5,1250000000.0,250000.0,2023-03-03 17:04:43,1248000000.0,1252000000.0,250000.0,4000440,-73.82557,-73.669754,-70.05044,-69.05213,-68.92346,-68.8787,-68.93617,-68.73331,-68.97757,-68.875305,-69.44355,-69.460365,-70.014824,-70.017365,-70.330765,-71.41559,-73.82557,-68.73331,-70.03780425000001
19,319.5,-7.5,320.0,-7.5,1250000000.0,250000.0,2023-03-03 17:04:52,1248000000.0,1252000000.0,250000.0,4000440,-73.83961,-73.266914,-71.13433,-70.46958,-70.33162,-70.37085,-70.20502,-70.038,-70.105865,-69.993164,-70.27262,-70.28721,-70.6446,-70.6987,-71.08155,-71.92561,-73.83961,-69.993164,-70.91657768749998
20,318.5,-7.5,319.0,-7.5,1250000000.0,250000.0,2023-03-03 17:05:04,1248000000.0,1252000000.0,250000.0,4000440,-74.1581,-73.60602,-71.77559,-71.098656,-71.00908,-71.09122,-70.84497,-70.694176,-70.68763,-70.6167,-70.75502,-70.87747,-71.13714,-71.113716,-71.52099,-72.29288,-74.1581,-70.6167,-71.454959875
21,317.5,-7.5,318.0,-7.5,1250000000.0,250000.0,2023-03-03 17:05:15,1248000000.0,1252000000.0,250000.0,4000440,-74.40506,-73.69119,-72.32546,-71.74218,-71.53573,-71.53263,-71.3105,-71.2401,-71.12174,-71.05704,-71.16422,-71.37466,-71.57082,-71.65038,-72.0237,-72.77477,-74.40506,-71.05704,-71.90751125000001
22,316.5,-7.5,317.0,-7.5,1250000000.0,250000.0,2023-03-03 17:05:23,1248000000.0,1252000000.0,250000.0,4000440,-74.28063,-73.325966,-72.30525,-71.8936,-71.67958,-71.62278,-71.527725,-71.46509,-71.317696,-71.32111,-71.52897,-71.76382,-71.927574,-72.08692,-72.28186,-72.9442,-74.28063,-71.317696,-72.0795481875
23,315.5,-7.5,316.0,-7.5,1250000000.0,250000.0,2023-03-03 17:05:32,1248000000.0,1252000000.0,250000.0,4000440,-73.72026,-72.57871,-71.65753,-71.34081,-71.09587,-71.053665,-71.10709,-71.03949,-70.90211,-70.93308,-71.21527,-71.49623,-71.712845,-71.89671,-71.92823,-72.53776,-73.72026,-70.90211,-71.63847875
24,315.5,-6.5,315.5,-7.0,1250000000.0,250000.0,2023-03-03 17:05:44,1248000000.0,1252000000.0,250000.0,4000440,-73.91505,-72.750404,-71.83917,-71.53274,-71.34747,-71.33073,-71.361855,-71.262985,-71.119125,-71.15241,-71.47813,-71.78768,-71.9972,-72.16875,-72.175995,-72.75933,-73.91505,-71.119125,-71.87368900000001
25,316.5,-6.5,316.0,-6.5,1250000000.0,250000.0,2023-03-03 17:05:56,1248000000.0,1252000000.0,250000.0,4000440,-74.47613,-73.48665,-72.33922,-71.93564,-71.8385,-71.82831,-71.72704,-71.648186,-71.449646,-71.4998,-71.74941,-71.98531,-72.06176,-72.245865,-72.462074,-73.08451,-74.47613,-71.449646,-72.2386281875
26,317.5,-6.5,317.0,-6.5,1250000000.0,250000.0,2023-03-03 17:06:07,1248000000.0,1252000000.0,250000.0,4000440,-74.57146,-73.86794,-72.296364,-71.69616,-71.66452,-71.65241,-71.36132,-71.31147,-71.15363,-71.09124,-71.136765,-71.376434,-71.46938,-71.565445,-72.08411,-72.84141,-74.57146,-71.09124,-71.946253625
27,318.5,-6.5,318.0,-6.5,1250000000.0,250000.0,2023-03-03 17:06:16,1248000000.0,1252000000.0,250000.0,4000440,-73.959206,-73.34428,-71.559875,-70.88613,-70.83377,-70.89863,-70.59158,-70.4891,-70.41332,-70.19845,-70.187096,-70.37008,-70.583275,-70.62017,-71.21134,-72.100586,-73.959206,-70.187096,-71.14043050000001
28,319.5,-6.5,319.0,-6.5,1250000000.0,250000.0,2023-03-03 17:06:28,1248000000.0,1252000000.0,250000.0,4000440,-73.26456,-72.50194,-70.86423,-70.39306,-70.30444,-70.29619,-70.01786,-69.82295,-69.80729,-69.578415,-69.631165,-69.71961,-69.99301,-70.0764,-70.580475,-71.52175,-73.26456,-69.578415,-70.5233340625
29,320.5,-6.5,320.5,-6.5,1250000000.0,250000.0,2023-03-03 17:06:40,1248000000.0,1252000000.0,250000.0,4000440,-72.878235,-72.16692,-70.180275,-69.56994,-69.6073,-69.49897,-69.38181,-69.11445,-69.25103,-69.03724,-69.22745,-69.32425,-69.619125,-69.74582,-70.18267,-71.131836,-72.878235,-69.03724,-69.99483256250001
30,321.5,-6.5,321.5,-6.5,1250000000.0,250000.0,2023-03-03 17:06:51,1248000000.0,1252000000.0,250000.0,4000440,-72.964035,-72.30474,-70.08259,-69.40586,-69.33023,-69.11473,-69.05107,-68.73689,-68.88351,-68.72108,-69.05493,-69.14756,-69.50204,-69.81134,-70.06744,-71.10693,-72.964035,-68.72108,-69.83031093749999
31,322.5,-6.5,322.5,-6.5,1250000000.0,250000.0,2023-03-03 17:07:00,1248000000.0,1252000000.0,250000.0,4000440,-73.3162,-72.80045,-70.19871,-69.27632,-69.33053,-68.90197,-68.88051,-68.5782,-68.66579,-68.64848,-69.08279,-69.29387,-69.48697,-70.02118,-70.22637,-71.31903,-73.3162,-68.5782,-69.87671062500002
32,323.5,-6.5,323.5,-6.5,1250000000.0,250000.0,2023-03-03 17:07:12,1248000000.0,1252000000.0,250000.0,4000440,-73.572266,-73.4532,-70.491035,-69.1659,-69.34361,-68.787544,-68.83445,-68.49513,-68.39889,-68.549484,-68.956085,-69.41227,-69.4187,-70.01119,-70.33415,-71.40061,-73.572266,-68.39889,-69.91403212499999
33,324.5,-6.5,324.5,-6.5,1250000000.0,250000.0,2023-03-03 17:07:24,1248000000.0,1252000000.0,250000.0,4000440,-74.0312,-73.86142,-70.78585,-69.40198,-69.50238,-69.102264,-68.94868,-68.767365,-68.51706,-68.7244,-69.03711,-69.54439,-69.48106,-70.11469,-70.4457,-71.66642,-74.0312,-68.51706,-70.1207480625
34,325.5,-6.5,325.5,-6.5,1250000000.0,250000.0,2023-03-03 17:07:36,1248000000.0,1252000000.0,250000.0,4000440,-74.20604,-74.08919,-71.09333,-69.6349,-69.7754,-69.469536,-69.23892,-69.065285,-68.76141,-68.962845,-69.26651,-69.77581,-69.65946,-70.148155,-70.56912,-71.74026,-74.20604,-68.76141,-70.34101068749999
35,326.5,-6.5,326.5,-6.5,1250000000.0,250000.0,2023-03-03 17:07:47,1248000000.0,1252000000.0,250000.0,4000440,-74.24614,-74.35683,-71.05015,-69.42432,-69.4758,-69.55779,-69.27475,-69.111206,-68.66011,-68.98906,-69.12503,-69.54808,-69.54233,-69.831055,-70.38606,-71.523865,-74.35683,-68.66011,-70.25641100000001
36,326.5,-5.5,326.5,-6.0,1250000000.0,250000.0,2023-03-03 17:07:56,1248000000.0,1252000000.0,250000.0,4000440,-74.17088,-74.38368,-70.90106,-69.23273,-69.29338,-69.35835,-69.08256,-68.90616,-68.41788,-68.7711,-68.89929,-69.28568,-69.31238,-69.602806,-70.174286,-71.32905,-74.38368,-68.41788,-70.07007949999999
37,325.5,-5.5,326.0,-5.5,1250000000.0,250000.0,2023-03-03 17:08:11,1248000000.0,1252000000.0,250000.0,4000440,-73.979904,-73.9791,-70.80819,-69.288445,-69.35161,-69.152435,-68.87359,-68.71762,-68.388054,-68.636955,-68.881165,-69.36299,-69.2788,-69.76105,-70.24471,-71.43475,-73.979904,-68.388054,-70.00871049999998
38,324.5,-5.5,325.0,-5.5,1250000000.0,250000.0,2023-03-03 17:08:20,1248000000.0,1252000000.0,250000.0,4000440,-73.63017,-73.44787,-70.52057,-69.15455,-69.31999,-68.87778,-68.725235,-68.50296,-68.29333,-68.42958,-68.7815,-69.26577,-69.198296,-69.76487,-70.16222,-71.32448,-73.63017,-68.29333,-69.83744818749999
39,323.5,-5.5,324.0,-5.5,1250000000.0,250000.0,2023-03-03 17:08:31,1248000000.0,1252000000.0,250000.0,4000440,-72.98302,-72.44502,-70.082565,-69.01178,-69.04079,-68.56523,-68.605446,-68.372505,-68.2887,-68.36974,-68.59966,-69.017494,-69.11,-69.64003,-69.96703,-71.0655,-72.98302,-68.2887,-69.57278187499999
40,322.5,-5.5,323.0,-5.5,1250000000.0,250000.0,2023-03-03 17:08:39,1248000000.0,1252000000.0,250000.0,4000440,-72.214676,-71.404594,-69.65039,-68.99533,-68.943695,-68.552536,-68.55914,-68.33585,-68.34188,-68.25181,-68.431366,-68.68573,-68.89058,-69.28242,-69.58825,-70.60265,-72.214676,-68.25181,-69.2956810625
41,321.5,-5.5,322.0,-5.5,1250000000.0,250000.0,2023-03-03 17:08:48,1248000000.0,1252000000.0,250000.0,4000440,-71.84159,-70.921646,-69.490746,-69.05481,-68.96466,-68.67352,-68.557495,-68.32855,-68.37351,-68.19719,-68.33576,-68.46791,-68.70225,-69.003685,-69.33448,-70.32516,-71.84159,-68.19719,-69.16081012500001
42,320.5,-5.5,321.0,-5.5,1250000000.0,250000.0,2023-03-03 17:08:59,1248000000.0,1252000000.0,250000.0,4000440,-71.868195,-71.10097,-69.66434,-69.22106,-69.15992,-68.91118,-68.78864,-68.549736,-68.58091,-68.31675,-68.4114,-68.50137,-68.72043,-68.943695,-69.333046,-70.26284,-71.868195,-68.31675,-69.270905125
43,319.5,-5.5,320.0,-5.5,1250000000.0,250000.0,2023-03-03 17:09:07,1248000000.0,1252000000.0,250000.0,4000440,-72.23868,-71.39029,-69.93016,-69.48869,-69.45304,-69.34129,-69.13665,-68.90834,-68.96962,-68.69563,-68.722946,-68.79414,-69.03473,-69.18076,-69.66151,-70.62616,-72.23868,-68.69563,-69.59828974999998
44,318.5,-5.5,319.0,-5.5,1250000000.0,250000.0,2023-03-03 17:09:15,1248000000.0,1252000000.0,250000.0,4000440,-72.836365,-72.07418,-70.47681,-70.01065,-70.02648,-70.00596,-69.70768,-69.53035,-69.516685,-69.23041,-69.188934,-69.27269,-69.45044,-69.54129,-70.1219,-71.08079,-72.836365,-69.188934,-70.129475875
45,317.5,-5.5,318.0,-5.5,1250000000.0,250000.0,2023-03-03 17:09:23,1248000000.0,1252000000.0,250000.0,4000440,-73.78084,-73.0141,-71.451004,-70.98262,-71.051384,-70.955246,-70.61281,-70.55245,-70.442,-70.17028,-70.07167,-70.22885,-70.32457,-70.430214,-71.09117,-72.02172,-73.78084,-70.07167,-71.073808
46,316.5,-5.5,317.0,-5.5,1250000000.0,250000.0,2023-03-03 17:09:32,1248000000.0,1252000000.0,250000.0,4000440,-74.62112,-73.73017,-72.466446,-72.06218,-72.08656,-72.002426,-71.7592,-71.722725,-71.48212,-71.360466,-71.39097,-71.557175,-71.56149,-71.75247,-72.28688,-73.09546,-74.62112,-71.360466,-72.18361612500001
47,315.5,-5.5,316.0,-5.5,1250000000.0,250000.0,2023-03-03 17:09:43,1248000000.0,1252000000.0,250000.0,4000440,-74.454735,-73.2895,-72.329704,-72.06031,-72.00271,-71.96295,-71.91935,-71.83511,-71.71697,-71.81674,-72.08594,-72.33874,-72.42684,-72.564995,-72.69673,-73.30653,-74.454735,-71.71697,-72.425490875
48,315.5,-4.5,315.0,-5.0,1250000000.0,250000.0,2023-03-03 17:09:53,1248000000.0,1252000000.0,250000.0,4000440,-74.559006,-73.392494,-72.48709,-72.256454,-72.21071,-72.173676,-72.102005,-72.03172,-71.93126,-71.98078,-72.16081,-72.3766,-72.46798,-72.58303,-72.759705,-73.41885,-74.559006,-71.93126,-72.555760625
49,316.5,-4.5,316.5,-4.5,1250000000.0,250000.0,2023-03-03 17:10:02,1248000000.0,1252000000.0,250000.0,4000440,-73.741486,-72.69991,-71.74951,-71.48417,-71.3987,-71.25718,-71.01628,-70.95246,-70.840164,-70.50789,-70.29338,-70.398506,-70.55595,-70.78314,-71.37452,-72.372604,-73.741486,-70.29338,-71.33911562499999
50,317.5,-4.5,317.0,-4.5,1250000000.0,250000.0,2023-03-03 17:10:13,1248000000.0,1252000000.0,250000.0,4000440,-73.36608,-72.38715,-71.3111,-71.02957,-70.983826,-70.84496,-70.569084,-70.47484,-70.345406,-69.99,-69.801,-69.90138,-70.029655,-70.236824,-70.86205,-71.88972,-73.36608,-69.801,-70.8764153125
51,318.5,-4.5,318.5,-4.5,1250000000.0,250000.0,2023-03-03 17:10:22,1248000000.0,1252000000.0,250000.0,4000440,-71.84172,-70.89295,-69.757835,-69.43825,-69.34319,-69.185265,-68.9862,-68.82678,-68.79095,-68.45639,-68.3194,-68.42604,-68.64812,-68.84004,-69.35113,-70.37599,-71.84172,-68.3194,-69.342515625
52,319.5,-4.5,319.0,-4.5,1250000000.0,250000.0,2023-03-03 17:10:33,1248000000.0,1252000000.0,250000.0,4000440,-71.561264,-70.596245,-69.50476,-69.21454,-69.11413,-68.9855,-68.76351,-68.56246,-68.496155,-68.20138,-68.144516,-68.22274,-68.407776,-68.635925,-69.13102,-70.13455,-71.561264,-68.144516,-69.1047794375
53,320.5,-4.5,320.5,-4.5,1250000000.0,250000.0,2023-03-03 17:10:42,1248000000.0,1252000000.0,250000.0,4000440,-71.194046,-70.26617,-69.146095,-68.84727,-68.72719,-68.445305,-68.28683,-68.08146,-68.04564,-67.80183,-67.83998,-67.94723,-68.14386,-68.432915,-68.8207,-69.756035,-71.194046,-67.80183,-68.73640975
54,321.5,-4.5,321.0,-4.5,1250000000.0,250000.0,2023-03-03 17:10:53,1248000000.0,1252000000.0,250000.0,4000440,-71.357796,-70.48383,-69.19953,-68.76781,-68.67593,-68.385506,-68.28572,-68.06555,-68.05392,-67.842575,-67.887375,-68.05724,-68.26149,-68.55056,-68.936386,-69.8834,-71.357796,-67.842575,-68.793413625
55,322.5,-4.5,322.5,-4.5,1250000000.0,250000.0,2023-03-03 17:11:02,1248000000.0,1252000000.0,250000.0,4000440,-71.91551,-71.11113,-69.50192,-68.8754,-68.792885,-68.3896,-68.30331,-68.14294,-68.11373,-68.0081,-68.113205,-68.37329,-68.55357,-68.96196,-69.271454,-70.27356,-71.91551,-68.0081,-69.04384775000001
56,323.5,-4.5,323.0,-4.5,1250000000.0,250000.0,2023-03-03 17:11:14,1248000000.0,1252000000.0,250000.0,4000440,-72.26982,-71.634254,-69.755905,-68.87996,-68.85127,-68.411705,-68.39998,-68.19217,-68.14253,-68.09461,-68.266235,-68.61228,-68.737305,-69.18172,-69.52633,-70.517,-72.26982,-68.09461,-69.217067125
57,324.5,-4.5,324.5,-4.5,1250000000.0,250000.0,2023-03-03 17:11:26,1248000000.0,1252000000.0,250000.0,4000440,-73.57885,-73.5028,-70.4387,-68.98746,-69.02604,-68.756454,-68.52372,-68.3742,-68.134224,-68.337,-68.57526,-69.03407,-68.95441,-69.519295,-69.964935,-71.120575,-73.57885,-68.134224,-69.67674956249999
58,325.5,-4.5,325.0,-4.5,1250000000.0,250000.0,2023-03-03 17:11:37,1248000000.0,1252000000.0,250000.0,4000440,-73.65346,-73.61365,-70.49779,-69.01921,-69.07501,-68.852745,-68.6855,-68.54219,-68.20219,-68.457504,-68.5584,-69.05638,-69.0825,-69.56525,-70.05601,-71.16807,-73.65346,-68.20219,-69.75536618749999
